region;Year;Medal;Season;medal_count;key;
Afghanistan;2008;Bronze;Summer;1;Afghanistan|2008|Bronze;
Afghanistan;2012;Bronze;Summer;1;Afghanistan|2012|Bronze;
Algeria;1984;Bronze;Summer;2;Algeria|1984|Bronze;
Algeria;1992;Bronze;Summer;1;Algeria|1992|Bronze;
Algeria;1992;Gold;Summer;1;Algeria|1992|Gold;
Algeria;1996;Bronze;Summer;1;Algeria|1996|Bronze;
Algeria;1996;Gold;Summer;2;Algeria|1996|Gold;
Algeria;2000;Bronze;Summer;3;Algeria|2000|Bronze;
Algeria;2000;Gold;Summer;1;Algeria|2000|Gold;
Algeria;2000;Silver;Summer;1;Algeria|2000|Silver;
Algeria;2008;Bronze;Summer;1;Algeria|2008|Bronze;
Algeria;2008;Silver;Summer;1;Algeria|2008|Silver;
Algeria;2012;Gold;Summer;1;Algeria|2012|Gold;
Algeria;2016;Silver;Summer;2;Algeria|2016|Silver;
Argentina;1924;Bronze;Summer;2;Argentina|1924|Bronze;
Argentina;1924;Gold;Summer;1;Argentina|1924|Gold;
Argentina;1924;Silver;Summer;3;Argentina|1924|Silver;
Argentina;1928;Bronze;Summer;1;Argentina|1928|Bronze;
Argentina;1928;Gold;Summer;3;Argentina|1928|Gold;
Argentina;1928;Silver;Summer;3;Argentina|1928|Silver;
Argentina;1932;Gold;Summer;3;Argentina|1932|Gold;
Argentina;1932;Silver;Summer;1;Argentina|1932|Silver;
Argentina;1936;Bronze;Summer;3;Argentina|1936|Bronze;
Argentina;1936;Gold;Summer;2;Argentina|1936|Gold;
Argentina;1936;Silver;Summer;2;Argentina|1936|Silver;
Argentina;1948;Bronze;Summer;1;Argentina|1948|Bronze;
Argentina;1948;Gold;Summer;3;Argentina|1948|Gold;
Argentina;1948;Silver;Summer;3;Argentina|1948|Silver;
Argentina;1952;Bronze;Summer;2;Argentina|1952|Bronze;
Argentina;1952;Gold;Summer;1;Argentina|1952|Gold;
Argentina;1952;Silver;Summer;2;Argentina|1952|Silver;
Argentina;1956;Bronze;Summer;1;Argentina|1956|Bronze;
Argentina;1956;Silver;Summer;1;Argentina|1956|Silver;
Argentina;1960;Bronze;Summer;1;Argentina|1960|Bronze;
Argentina;1960;Silver;Summer;1;Argentina|1960|Silver;
Argentina;1964;Silver;Summer;1;Argentina|1964|Silver;
Argentina;1968;Bronze;Summer;2;Argentina|1968|Bronze;
Argentina;1972;Silver;Summer;1;Argentina|1972|Silver;
Argentina;1988;Bronze;Summer;1;Argentina|1988|Bronze;
Argentina;1988;Silver;Summer;1;Argentina|1988|Silver;
Argentina;1992;Bronze;Summer;1;Argentina|1992|Bronze;
Argentina;1996;Bronze;Summer;1;Argentina|1996|Bronze;
Argentina;1996;Silver;Summer;2;Argentina|1996|Silver;
Argentina;2000;Bronze;Summer;2;Argentina|2000|Bronze;
Argentina;2000;Silver;Summer;2;Argentina|2000|Silver;
Argentina;2004;Bronze;Summer;4;Argentina|2004|Bronze;
Argentina;2004;Gold;Summer;2;Argentina|2004|Gold;
Argentina;2008;Bronze;Summer;4;Argentina|2008|Bronze;
Argentina;2008;Gold;Summer;2;Argentina|2008|Gold;
Argentina;2012;Bronze;Summer;2;Argentina|2012|Bronze;
Argentina;2012;Gold;Summer;1;Argentina|2012|Gold;
Argentina;2012;Silver;Summer;1;Argentina|2012|Silver;
Argentina;2016;Gold;Summer;3;Argentina|2016|Gold;
Argentina;2016;Silver;Summer;1;Argentina|2016|Silver;
Armenia;1996;Gold;Summer;1;Armenia|1996|Gold;
Armenia;1996;Silver;Summer;1;Armenia|1996|Silver;
Armenia;2000;Bronze;Summer;1;Armenia|2000|Bronze;
Armenia;2008;Bronze;Summer;6;Armenia|2008|Bronze;
Armenia;2012;Bronze;Summer;2;Armenia|2012|Bronze;
Armenia;2012;Silver;Summer;1;Armenia|2012|Silver;
Armenia;2016;Gold;Summer;1;Armenia|2016|Gold;
Armenia;2016;Silver;Summer;3;Armenia|2016|Silver;
